datetime,date,open,high,low,close,volume,symbol
2019-09-19 09:01:00+09:00,2019-09-19,5220,5220,5220,5220,409,020710
2019-09-19 09:01:00+09:00,2019-09-19,1475,1500,1475,1490,32365,205500
2019-09-19 09:01:00+09:00,2019-09-19,2015,2030,2015,2030,698,043710
2019-09-19 09:01:00+09:00,2019-09-19,29900,29900,29900,29900,16,015230
2019-09-19 09:01:00+09:00,2019-09-19,2230,2230,2215,2230,212,018700
2019-09-19 09:01:00+09:00,2019-09-19,3300,3300,3290,3290,3023,250930
2019-09-19 09:01:00+09:00,2019-09-19,3765,3765,3750,3750,2944,066590
2019-09-19 09:01:00+09:00,2019-09-19,469,469,465,465,4432,900080
2019-09-19 09:01:00+09:00,2019-09-19,6720,6720,6720,6720,221,089970
2019-09-19 09:01:00+09:00,2019-09-19,1315,1315,1315,1315,805,009180
2019-09-19 09:46:00+09:00,2019-09-19,2225,2225,2225,2225,227,276920
2019-09-19 09:01:00+09:00,2019-09-19,20250,20300,20250,20300,6185,064350
2019-09-19 09:01:00+09:00,2019-09-19,31950,31950,31950,31950,62,248170
2019-09-19 09:01:00+09:00,2019-09-19,1940,1950,1940,1950,6977,052190
2019-09-19 09:01:00+09:00,2019-09-19,2095,2095,2090,2095,614,085810
2019-09-19 09:01:00+09:00,2019-09-19,1122000,1122000,1122000,1122000,1,003240
2019-09-19 09:01:00+09:00,2019-09-19,2265,2275,2265,2275,47,035080
2019-09-19 09:08:00+09:00,2019-09-19,35900,35900,35900,35900,3,015350
2019-09-19 09:01:00+09:00,2019-09-19,3682,3694,3682,3694,69885,033340
2019-09-19 09:01:00+09:00,2019-09-19,42150,42700,42150,42700,512,065660
2019-09-19 09:01:00+09:00,2019-09-19,57200,57300,57200,57200,98,005180
2019-09-19 09:01:00+09:00,2019-09-19,2335,2335,2335,2335,4195,217500
2019-09-19 09:01:00+09:00,2019-09-19,6590,6600,6590,6600,2320,011320
2019-09-19 09:01:00+09:00,2019-09-19,17150,17150,17150,17150,18,251970
2019-09-19 09:01:00+09:00,2019-09-19,10200,10300,10200,10300,24,018310
2019-09-19 09:01:00+09:00,2019-09-19,5410,5410,5400,5400,102,006890
2019-09-19 09:01:00+09:00,2019-09-19,70200,70200,70100,70200,220,039490
2019-09-19 09:03:00+09:00,2019-09-19,8800,8800,8800,8800,10,006660
2019-09-19 09:01:00+09:00,2019-09-19,1100,1110,1100,1110,234713,002360
2019-09-19 09:01:00+09:00,2019-09-19,6190,6190,5850,5910,106376,086060
2019-09-19 09:01:00+09:00,2019-09-19,4360,4400,4360,4400,8,010770
2019-09-19 09:01:00+09:00,2019-09-19,2220,2225,2220,2225,3780,037330
2019-09-19 09:01:00+09:00,2019-09-19,10400,10400,10400,10400,127,044490
2019-09-19 09:01:00+09:00,2019-09-19,5630,5670,5630,5670,7165,060240
2019-09-19 09:01:00+09:00,2019-09-19,3050,3070,3045,3060,4391,056080
2019-09-19 09:01:00+09:00,2019-09-19,2980,3020,2975,2990,27010,252500
2019-09-19 09:05:00+09:00,2019-09-19,2105,2110,2105,2110,14,284620
2019-09-19 09:01:00+09:00,2019-09-19,3380,3380,3360,3365,2886,204020
2019-09-19 09:01:00+09:00,2019-09-19,4735,4735,4715,4715,167,009580
2019-09-19 09:01:00+09:00,2019-09-19,1460,1460,1455,1455,71,097800
2019-09-19 09:01:00+09:00,2019-09-19,6670,6720,6660,6660,12078,044480
2019-09-19 09:01:00+09:00,2019-09-19,1550,1550,1540,1540,166,205470
2019-09-19 09:01:00+09:00,2019-09-19,22500,22500,22300,22300,9831,060250
2019-09-19 09:01:00+09:00,2019-09-19,3690,3690,3605,3625,237485,208140
2019-09-19 09:01:00+09:00,2019-09-19,6950,6950,6950,6950,14,056090
2019-09-19 09:01:00+09:00,2019-09-19,21450,21500,21450,21450,474,069260
2019-09-19 09:01:00+09:00,2019-09-19,1860,1860,1855,1860,29921,011330
2019-09-19 09:01:00+09:00,2019-09-19,6490,6490,6490,6490,9,058730
2019-09-19 09:01:00+09:00,2019-09-19,5700,5700,5700,5700,10,187420
2019-09-19 09:02:00+09:00,2019-09-19,9470,9480,9470,9480,156,110990
2019-09-19 09:04:00+09:00,2019-09-19,1055,1055,1055,1055,3,003720
2019-09-19 09:01:00+09:00,2019-09-19,4415,4415,4415,4415,500,006880
2019-09-19 09:01:00+09:00,2019-09-19,60200,60200,60200,60200,234,263050
2019-09-19 09:01:00+09:00,2019-09-19,116000,116000,115000,115000,2292,139480
2019-09-19 09:01:00+09:00,2019-09-19,9360,9360,9300,9330,1332,101490
2019-09-19 09:01:00+09:00,2019-09-19,12500,12600,12500,12550,27734,316140
2019-09-19 09:01:00+09:00,2019-09-19,16950,16950,16950,16950,59,005190
2019-09-19 09:01:00+09:00,2019-09-19,5430,5430,5430,5430,2,117580
2019-09-19 09:01:00+09:00,2019-09-19,9390,9390,9380,9390,1131,060720
2019-09-19 09:01:00+09:00,2019-09-19,2965,2965,2965,2965,362,205100
2019-09-19 09:01:00+09:00,2019-09-19,4350,4350,4350,4350,610,036200
2019-09-19 09:01:00+09:00,2019-09-19,8720,8720,8700,8700,1165,307930
2019-09-19 09:01:00+09:00,2019-09-19,7150,7150,7150,7150,115,083450
2019-09-19 09:01:00+09:00,2019-09-19,78000,78000,78000,78000,1,018670
2019-09-19 09:01:00+09:00,2019-09-19,1445,1445,1445,1445,250,090410
2019-09-19 09:01:00+09:00,2019-09-19,5600,5640,5600,5640,5086,014710
2019-09-19 09:47:00+09:00,2019-09-19,156000,156000,156000,156000,1,002600
2019-09-19 09:01:00+09:00,2019-09-19,12200,12200,12000,12000,16800,018880
2019-09-19 09:02:00+09:00,2019-09-19,24250,24500,24250,24500,8,065710
2019-09-19 09:01:00+09:00,2019-09-19,26200,26200,26200,26200,242,200130
2019-09-19 09:01:00+09:00,2019-09-19,4970,4970,4970,4970,2,221840
2019-09-19 09:06:00+09:00,2019-09-19,2515,2515,2485,2485,2,033230
2019-09-19 09:01:00+09:00,2019-09-19,13300,13300,13300,13300,558,009190
2019-09-19 09:01:00+09:00,2019-09-19,4165,4165,4160,4160,485,089790
2019-09-19 09:41:00+09:00,2019-09-19,9000,9000,9000,9000,2,176750
2019-09-19 09:59:00+09:00,2019-09-19,2395,2395,2395,2395,26,245450
2019-09-19 09:01:00+09:00,2019-09-19,10000,10000,10000,10000,2,091120
2019-09-19 09:01:00+09:00,2019-09-19,2140,2160,2140,2160,1394,222420
2019-09-19 09:01:00+09:00,2019-09-19,13000,13050,13000,13050,24,002990
2019-09-19 09:01:00+09:00,2019-09-19,48250,48300,48200,48200,713,006260
2019-09-19 09:01:00+09:00,2019-09-19,2065,2070,2065,2065,2702,002760
2019-09-19 09:01:00+09:00,2019-09-19,41300,41300,41300,41300,25,284740
